PROV,ED_CODE,ED_NAMEE,ED_NAMEF,POPULATION,ELECTEURS_AUTOCHTONES,TAUX_PARTICIPATION
Terre-Neuve-et-Labrador,10003,Coast of Bays--Central--Notre Dame,Coast of Bays--Central--Notre Dame,74201,689,26.9
Terre-Neuve-et-Labrador,10004,Labrador,Labrador,26655,1453,11.5
Ile-du-Prince-Edouard,11001,Cardigan,Cardigan,39866,162,55.0
Ile-du-Prince-Edouard,11003,Egmont,Egmont,35925,255,40.5
Ile-du-Prince-Edouard,11004,Malpeque,Malpeque,39731,313,76.7
Nouvelle-Ecosse,12001,Cape Breton--Canso,Cape Breton--Canso,71380,1455,45.2
Nouvelle-Ecosse,12002,Central Nova,Nova-Centre,73188,1196,62.6
Nouvelle-Ecosse,12003,Cumberland--Colchester,Cumberland--Colchester,82014,713,43.9
Nouvelle-Ecosse,12004,Dartmouth--Cole Harbour,Dartmouth--Cole Harbour,96165,394,59.4
Nouvelle-Ecosse,12006,Halifax West,Halifax-Ouest,111944,446,67.9
Nouvelle-Ecosse,12007,Kings--Hants,Kings--Hants,87744,2469,54.3
Nouvelle-Ecosse,12009,South Shore--St. Margarets,South Shore--St. Margarets,94482,1387,56.0
Nouvelle-Ecosse,12010,Sydney--Victoria,Sydney--Victoria,72361,4144,48.4
Nouvelle-Ecosse,12011,West Nova,Nova-Ouest,83571,924,49.1
Nouveau-Brunswick,13001,Acadie--Bathurst,Acadie--Bathurst,77594,263,54.4
Nouveau-Brunswick,13002,Beauséjour,Beauséjour,88797,1247,60.7
Nouveau-Brunswick,13003,Fredericton,Fredericton,87436,3857,52.9
Nouveau-Brunswick,13005,Madawaska--Restigouche,Madawaska--Restigouche,60184,735,45.8
Nouveau-Brunswick,13006,Miramichi--Grand Lake,Miramichi--Grand Lake,57520,5509,45.7
Nouveau-Brunswick,13008,New Brunswick Southwest,Nouveau-Brunswick-Sud-Ouest,67781,385,30.4
Nouveau-Brunswick,13010,Tobique--Mactaquac,Tobique--Mactaquac,69344,1124,24.6
Quebec,24001,Abitibi--Baie-James--Nunavik--Eeyou,Abitibi--Baie-James--Nunavik--Eeyou,89087,11793,18.8
Quebec,24002,Abitibi--Témiscamingue,Abitibi--Témiscamingue,103735,1578,37.9
Quebec,24006,Avignon--La Mitis--Matane--Matapédia,Avignon--La Mitis--Matane--Matapédia,70253,1960,21.4
Quebec,24009,Bécancour--Nicolet--Saurel,Bécancour--Nicolet--Saurel,96439,1131,53.3
Quebec,24031,Joliette,Joliette,112418,1396,23.0
Quebec,24034,La Prairie,La Prairie,114968,2434,1.9
Quebec,24035,Lac-Saint-Jean,Lac-Saint-Jean,103886,1730,29.3
Quebec,24038,Laurentides--Labelle,Laurentides--Labelle,123796,720,66.6
Quebec,24045,Louis-Saint-Laurent,Louis-Saint-Laurent,123123,2252,55.6
Quebec,24046,Manicouagan,Manicouagan,88525,7999,22.0
Quebec,24048,Mirabel,Mirabel,132930,580,30.0
Quebec,24057,Pontiac,Pontiac,129781,1103,11.5
Quebec,24070,Saint-Maurice--Champlain,Saint-Maurice--Champlain,111997,2117,11.2
Quebec,24071,Salaberry--Suroît,Salaberry--Suroît,119351,1582,13.3
Ontario,35002,Algoma--Manitoulin--Kapuskasing,Algoma--Manitoulin--Kapuskasing,80310,8588,49.3
Ontario,35013,Brantford--Brant,Brantford--Brant,140139,6000,20.5
Ontario,35014,Bruce--Grey--Owen Sound,Bruce--Grey--Owen Sound,113348,1147,41.8
Ontario,35017,Chatham-Kent--Leamington,Chatham-Kent--Leamington,113654,269,37.7
Ontario,35023,Durham,Durham,150235,739,62.4
Ontario,35039,Hastings--Lennox and Addington,Hastings--Lennox and Addington,100636,2701,38.3
Ontario,35042,Kenora,Kenora,64261,12814,38.8
Ontario,35048,Lambton--Kent--Middlesex,Lambton--Kent--Middlesex,111242,5998,43.5
Ontario,35069,Nickel Belt,Nickel Belt,94947,565,44.0
Ontario,35070,Nipissing--Timiskaming,Nipissing--Timiskaming,89781,1655,50.4
Ontario,35071,Northumberland--Peterborough South,Northumberland--Peterborough-Sud,118756,1253,64.3
Ontario,35082,Parry Sound--Muskoka,Parry Sound--Muskoka,104494,986,54.1
Ontario,35084,Peterborough--Kawartha,Peterborough--Kawartha,125478,1005,58.2
Ontario,35086,Renfrew--Nipissing--Pembroke,Renfrew--Nipissing--Pembroke,107420,363,50.6
Ontario,35091,Sarnia--Lambton,Sarnia--Lambton,107077,633,40.4
Ontario,35092,Sault Ste. Marie,Sault Ste. Marie,79331,2683,46.0
Ontario,35100,Simcoe North,Simcoe-Nord,120656,1470,54.5
Ontario,35102,Stormont--Dundas--South Glengarry,Stormont--Dundas--South Glengarry,104493,2488,47.9
Ontario,35105,Thunder Bay--Rainy River,Thunder Bay--Rainy River,82357,3676,47.6
Ontario,35106,Thunder Bay--Superior North,Thunder Bay--Supérieur-Nord,83325,2525,38.4
Ontario,35107,Timmins--James Bay,Timmins--Baie James,80785,3901,31.0
Ontario,35119,York--Simcoe,York--Simcoe,124458,188,53.1
Manitoba,46001,Brandon--Souris,Brandon--Souris,89812,542,55.0
Manitoba,46003,Churchill--Keewatinook Aski,Churchill--Keewatinook Aski,81258,28104,26.8
Manitoba,46004,Dauphin--Swan River--Neepawa,Dauphin--Swan River--Neepawa,89503,7881,36.2
Manitoba,46007,Portage--Lisgar,Portage--Lisgar,100417,1047,37.8
Manitoba,46008,Provencher,Provencher,109445,586,30.3
Manitoba,46010,Selkirk--Interlake--Eastman,Selkirk--Interlake--Eastman,101373,1312,28.3
Saskatchewan,47001,Battlefords--Lloydminster,Battlefords--Lloydminster,70918,5139,37.4
